State,globalnews.ca,www.youtube.com,www.instagram.com,linkis.com,www.theglobeandmail.com,www.660news.com,edmontonjournal.com,www.mymcmurray.com,www.huffingtonpost.ca,paper.li,calgaryherald.com,www.newstalk770.com,www.ymmmatters.com,www.metronews.ca,ici.radio-canada.ca,www.twitlonger.com,www.thestar.com,www.buzzfeed.com,www.macleans.ca,www.periscope.tv,other
16/08,3515,831,737,311,291,255,253,192,192,167,111,110,107,103,100,93,91,84,82,80,7166
16/09,1340,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,68
