State,notstrategic.blogspot.ca,www.uvicfa.ca,uvfawhycertify.org,www.facebook.com,notstrategic.blogspot.com,www.theglobeandmail.com,www.blogger.com,beta.images.theglobeandmail.com,www.uvic.ca,twitter.com,www.martlet.ca,dublincore.org,sec.theglobeandmail.com,thetyee.ca,plus.google.com,mobile.twitter.com,accounts.google.com,web.adblade.com,ow.ly,pixel.facebook.com,other
14/02,0,72,70,2,0,15,0,14,19,11,6,5,2,3,2,2,0,3,0,0,23
14/03,292,1,0,64,63,20,22,6,0,1,0,0,3,1,2,2,3,0,2,2,12
