State,www.naho.ca,www.nsi-ins.ca,cidpnsi.ca,www.youtube.com,aboriginalsportsnews.blogspot.com,www.oecd.org,blogger.googleusercontent.com,1.gravatar.com,www.theglobeandmail.com,www.cgdev.org,0.gravatar.com,www.acdi-cida.gc.ca,cso-effectiveness.org,bit.ly,www.cso-effectiveness.org,www.un.org,www.cbc.ca,www.theguardian.com,post2015.org,www.slideshare.net,other
14/07,8839,0,0,53,48,0,25,22,1,0,15,0,0,5,0,0,3,0,0,1,105
14/09,0,1439,1420,23,0,45,0,0,15,16,0,13,10,5,10,9,6,8,8,6,355
