State,linkis.com,m.youtube.com,www.youtube.com,www.theglobeandmail.com,globalnews.ca,www.instagram.com,www.huffingtonpost.ca,rabble.ca,fw.to,w.worldwideherald.com,ottawacitizen.com,ipolitics.ca,www.thestar.com,news.nationalpost.com,www.macleans.ca,ici.radio-canada.ca,www.ledevoir.com,thetyee.ca,killc51.ca,www.cbc.ca,other
16/01,11102,8764,7481,6936,6188,5310,4797,3435,3266,3230,2141,1955,1901,1867,1482,1178,1041,1013,995,910,63667
16/02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
