State,humanrightshub.ca,www.manitobamoonvoicesinc.ca,www.aboriginaldaylive.ca,www.youtube.com,www.aboriginalmusicweek.ca,wherearethechildren.ca,www.winnipegfreepress.com,redrisingmagazine.ca,www.anglican.ca,m.youtube.com,passages.winnipegfreepress.com,homes.winnipegfreepress.com,www.google.com,lesenfantsdevenus.ca,s.youtube.com,cm.g.doubleclick.net,i9.ytimg.com,accounts.google.com,www.micec.com,www.bbc.com,other
16/07,0,0,0,288,0,0,146,1,0,30,132,115,6,0,17,1,14,21,0,63,906
16/09,9822,8767,7084,2555,686,574,396,530,472,339,230,225,302,223,184,179,165,146,140,64,4420
