State,www.akpress.org,warriorpublications.wordpress.com,www.pmpress.org,vancouver.mediacoop.ca,noii-van.resist.ca,www.goodreads.com,www.submedia.tv,uncontrollablevancouver.wordpress.com,camas.ca,torontoabc.wordpress.com,guelphabc.noblogs.org,wp.me,stopwarca.wordpress.com,forestaction.wikidot.com,www.youtube.com,flattr.com,submedia.tv,turning.ca,www.anarchistbookfair.ca,unistotencamp.com,other
14/07,33603,11647,7128,6714,5464,4260,4106,3332,1569,1549,1501,1364,1305,1278,948,856,688,631,560,409,5127
14/12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,293
