State,accounts.google.com,www.youtube.com,www.google.com,m.youtube.com,s.youtube.com,youtube.com,i.ytimg.com,plus.google.com,youtu.be,www.amazon.com,itunes.apple.com,www.youtube-nocookie.com,www.rdl.sfu.ca,support.google.com,play.google.com,static.googleusercontent.com,creatoracademy.withgoogle.com,product-ads-portal.amazon.com,gaming.youtube.com,www.apple.com,other
15/11,255022,175161,46663,37331,18283,9226,4982,3174,2091,2025,1491,561,272,137,120,36,24,23,16,14,1107
15/12,0,0,0,0,0,0,0,0,0,0,0,0,135,0,0,0,0,0,0,0,3
