State,la-liberte.mb.ca,www.facebook.com,www.ellieepp.com,www.youtube.com,blog.yegfilm.ca,caroleobrien.ca,prairietales14.blogspot.ca,northcountrycinema.com,player.vimeo.com,rickhancox.ca,www.dirtcityfilms.com,intercut.net,www.danishkaesterhazy.com,prairietales12.blogspot.ca,cbattle.com,amaas.ca,www.brianstockton.com,vimeo.com,www.decodawson.com,m.youtube.com,other
16/02,0,1093,1082,678,707,425,420,368,301,276,268,247,242,237,228,168,154,127,115,114,1408
16/08,4361,1,0,76,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,52
