State,blog.plain-sense.co.uk,www.transadvocate.com,www.ifge.org,ai.eecs.umich.edu,tgeu.org,www.gires.org.uk,transactivists.org,www.imatyfa.org,wp.me,www.genderodyssey.org,www.youtube.com,transgenderarchives.uvic.ca,www.tgeu.org,gendertrust.org.uk,www.facebook.com,cgi.www.umich.edu,www.wpath.org,www.ftmi.org,www.fantasiafair.org,www.tri-ess.org,other
14/04,0,0,0,0,0,0,0,0,0,0,0,133,0,0,0,0,0,0,0,0,4
15/08,121268,44800,8382,1610,1565,1543,831,659,635,576,566,155,128,120,112,102,96,63,58,48,651
