State,www.uvic.ca,finearts.uvic.ca,blogs.library.uvic.ca,www.uvicbookstore.ca,ring.uvic.ca,www.cics.uvic.ca,onlineacademiccommunity.uvic.ca,mapping.uvic.ca,cfuv.uvic.ca,www.youtube.com,www.uvcs.uvic.ca,uvac.uvic.ca,libguides.uvic.ca,communications.uvic.ca,etcl.uvic.ca,gss.uvic.ca,climate.uvic.ca,ess.uvic.ca,torch.uvic.ca,maker.uvic.ca,other
15/09,63543,59175,17469,13944,13225,11862,7682,5406,3901,3494,3415,3043,2218,1880,1121,1075,975,818,742,696,8869
15/10,84,0,1,1,0,0,2994,0,0,69,1,0,0,2,0,0,0,0,0,0,173
