State,www.policyalternatives.ca,www.equalvoice.ca,www.liberal.ca,greenparty.ca,www.ndp.ca,westernblockparty.com,www.davidsuzuki.org,www.canadians.org,www.egale.ca,www.greenparty.ca,www.fairvotecanada.org,www.fairvote.ca,www.conservative.ca,canadianactionparty.ca,www.afn.ca,communist-party.ca,ccla.org,www.socialist.ca,www.chp.ca,www.ccsd.ca,other
13/08,19235,72841,97936,382,20898,1,8980,19541,0,19043,1,0,2,2,5863,1,3837,3574,988,3811,22634
13/11,2880,28664,17603,321,3358,0,10949,2140,0,3328,0,105,1447,0,3261,0,4145,2226,1086,1685,15283
14/02,17610,112774,85676,69,13660,0,11134,15830,0,17877,0,107,1515,1,6816,0,5388,4129,1129,1933,25673
14/05,16316,116178,69797,319,19081,0,9521,16038,0,16207,2,141,1548,1,7430,103,9338,16034,1203,951,59696
14/08,20130,108639,98779,3,20920,60,9489,19578,0,9,0,1,2726,1,7657,124,15,18590,4,764,69026
14/11,18125,186143,80706,22074,20197,9,9947,17441,0,135,5,1,3309,1,8066,144,11,18299,2,1047,17991
15/02,17745,615,61644,19573,19112,0,13323,16518,1,141,5,169,4757,1,7345,159,10707,18459,58,735,49211
15/05,16744,269,36933,372,18491,0,10803,9359,84,13714,0,166,4739,1,6190,348,10891,14040,58,755,30235
15/08,19103,32,11769,410,1543,0,11801,0,140,21174,8,178,70,1,9052,373,1745,10077,73,936,33691
15/11,18707,0,43746,33,1792,62,13203,0,2,21357,0,9,481,1,6827,447,1727,16777,6,917,66826
